sk_tiempo,fecha,anio,mes
1,2023-01-02,2023,1
2,2023-01-09,2023,1
3,2023-01-16,2023,1
4,2023-02-06,2023,2
5,2023-02-13,2023,2
6,2023-02-20,2023,2
7,2023-02-27,2023,2
8,2023-03-06,2023,3
9,2023-03-20,2023,3
10,2023-04-03,2023,4
11,2023-04-10,2023,4
12,2023-04-17,2023,4
13,2023-04-24,2023,4
14,2023-05-08,2023,5
15,2023-05-22,2023,5
16,2023-05-29,2023,5
17,2023-06-12,2023,6
18,2023-06-19,2023,6
19,2023-06-26,2023,6
20,2023-07-03,2023,7
21,2023-07-17,2023,7
22,2023-07-24,2023,7
23,2023-07-31,2023,7
24,2023-08-07,2023,8
25,2023-08-14,2023,8
26,2023-08-21,2023,8
27,2023-08-28,2023,8
28,2023-09-20,2023,9
29,2023-09-25,2023,9
30,2023-09-27,2023,9
31,2023-10-02,2023,10
32,2023-10-16,2023,10
33,2023-10-23,2023,10
34,2023-10-30,2023,10
35,2023-11-06,2023,11
36,2023-11-13,2023,11
37,2023-11-27,2023,11
38,2023-09-16,2023,9
39,2023-09-13,2023,9
40,2023-09-14,2023,9
41,2023-09-15,2023,9
42,2023-09-17,2023,9
43,2023-09-12,2023,9
44,2023-11-26,2023,11
45,2023-11-21,2023,11
46,2023-11-22,2023,11
47,2023-11-24,2023,11
48,2023-11-23,2023,11
49,2023-11-25,2023,11
50,2023-02-04,2023,2
51,2023-02-03,2023,2
52,2023-02-02,2023,2
